date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:32	270397/270397	---M-Z	200	added ('OK')	text/html	etag:%224203d-641af424-56a97eeb60a6b790;gz%22	https://andit.co/projects/html/and-tour/demo/index.html	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/index.html	(from )
12:23:34	6943/6943	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2006:53:31%20GMT	https://andit.co/robots.txt		(from )
12:23:35	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-641af44a-c4a06dbba864ab42;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/bootstrap.min.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/bootstrap.min.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:35	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22e283-641af44a-df37d9fbea7e7d7c;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/animate.min.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/animate.min.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:36	56854/56854	---M-Z	200	added ('OK')	text/css	etag:%22de16-641af44b-b85d5d368c97dd2e;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/fontawesome.all.min.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/fontawesome.all.min.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:37	80533/80533	---M-Z	200	added ('OK')	text/css	etag:W/%2213a95-GT7jENNppf/cnpgQOlL+nX8dUxI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.2/font/bootstrap-icons.css	C:/Users/kanbi/Downloads/plsgod/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.2/font/bootstrap-icons.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:37	4201/4201	---M-Z	200	added ('OK')	text/css	etag:%221069-641af44e-e5802cef5dd2b88b;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/owl.carousel.min.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/owl.carousel.min.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:37	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-641af44f-4c1bbd0d9696e780;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/owl.theme.default.min.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/owl.theme.default.min.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:38	37713/37713	---M-Z	200	added ('OK')	text/css	etag:%229351-641af44d-d02450a9d71eb620;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/navber.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/navber.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
12:23:38	7084/7084	---M-Z	200	added ('OK')	text/css	etag:%221bac-641af44b-9d74eca1d44c136e;gz%22	https://andit.co/projects/html/and-tour/demo/assets/css/meanmenu.css	C:/Users/kanbi/Downloads/plsgod/andit.co/projects/html/and-tour/demo/assets/css/meanmenu.css	(from https://andit.co/projects/html/and-tour/demo/index.html)
